_id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4754662181311371,LmW0O5v99,5391737200,独乐携众乐,#上海4日核酸采样工作顺利完成#上海到目前为止没有撸一人，我要为这些年因为疫情而撸下去的人鸣不平了对比一下，湖北f4何其的冤,,,,上海4日核酸采样工作顺利完成,0,0,10,2022-04-04 22:41,HarmonyOS设备,['https://wx3.sinaimg.cn/large/005STb9ely1h0y2ikvrbxj30c80c80sz.jpg'],,
4754655625610656,LmVQenxAs,5637065453,湖北新闻,【#多名返鄂人员故意逃避集中隔离将被追责#】近日，湖北省孝感市汉川市、云梦县，黄冈市团风县等地发生多人故意逃避疫情防控集中隔离事件，警方表示将依法追责。L湖北新闻的微博视频,,,,多名返鄂人员故意逃避集中隔离将被追责,1,0,1,2022-04-04 22:15,微博视频号,,,
4754655181538327,LmVPw6sbJ,5236442064,翠屏青年,#网事聚焦#网友：老太太种的菜太不容易了，好有爱心，希望疫情早日结束！（湖北广播电视台长江说法）#上海小伙薅光奶奶菜地送抗疫酒店#L翠屏青年的微博视频,,,,"网事聚焦,上海小伙薅光奶奶菜地送抗疫酒店",0,0,0,2022-04-04 22:13,微博视频号,,,
4754652723413684,LmVLyek3q,6310319188,Woody-k,湖北省考会不会跟20年疫情那年一样，事业单位考在公务员前面啊,,,,,0,0,0,2022-04-04 22:03,湖北省考超话,,,
4754650883164425,LmVIAdhd7,7465567343,安久久安Virgo,今天做核酸是湖北省妇幼保健院的医生，老乡来支援了，好感动呀希望上海疫情快快消退,,,,,0,0,0,2022-04-04 21:56,iPhone客户端,,,
4754640250081288,LmVrr0l96,6348624824,Maybelle__,一直提醒自己，不要在网络上参与，去实际地帮助生活中真实存在的人：身边的家人，小区的工作人员，弹尽粮绝的邻居。即使看到多离谱的事。2019年年末我在湖北，完整地经历过那一轮疫情的开始到结束。我当时想，不会再有这样的冬天了吧。没想到还有个这样的春天。一边是手机上看到大家在炸带鱼吃咸肉，一边是我真实生活里实在没有买到食物今天还在小区群里向大家求助如何抢菜的邻居，对我支援的两包速食面一直感到抱歉，说：“大家都不容易，你们也需要食物。”我有点割裂了。（我们小区有确诊，估计还要封一段时间）如果真实生活中身边还有人饿肚子，那我也无法安心享用自己充足的食物，做好准备随时和大家共享。可能因为近距离经历过，我对疫情有一点敏感，后来有小早就更敏感了。我不寄希望于能有完善有效的动物管理方案（能有的话当然更好），我们也不喜欢给别人添麻烦，在早早这件事上没有可靠的“后路”，所以必须小心地管好自己。三月初我本该去医院复查，之前体检查出身体不止一个问题，要喝的每种药都要经过复查的数据，再继续决定用药和用量。我已经网上挂好号，但前一晚刷到有疫情了，虽然去的医院没有封，我也立即取消挂号。后来很快那所医院就被封了，所以我很庆幸自己的决定。小张也开始居家办公，我就开始囤菜了。很快也把一天三餐改成一天两餐了。所以吃了几周还是有一些余粮。即使小区让出门买菜的时候，也小心地不出门。而且家里常年有各种面粉，我能自产一堆面包馒头烙饼，不可能饿着。但这种时候独善其身太难，离我很近的很多人留下了不可能弥补的伤痛。只希望每一个独立的善意的个体，不要再被伤害了。我还是相信有很多人在拼命努力了，善意一定大于恶意。可以的话一定尽可能清醒理智地保护好自己和爱的,,,,,2,51,214,2022-04-04 21:13,,,,
4754638940672956,LmVpk2P48,2045498204,一个修皮匠,#15省38000多名医务人员驰援上海#2019年，武汉疫情刚刚暴发时，很多人说湖北、武汉的反应过慢，封城过晚。我个人还是很理解武汉的，毕竟对一个新型病毒，大家了解没有那么透彻，也不知道如何应对。而封城，相对来说是一件大事，并不是武汉市政府或湖北省政府可以决定的。相对来说，武汉的反应还是得及时的，万事疫情也很快控制住。当时就想，如果当时疫情首发是上海，不是武汉，上海作为世界大都市，上海的人口密度更大，流口性更大，封城会更容易吗？现在是真正考验上海的时候了，需要更多医护人员的投入。现在的新变异病毒传播速度比之前更快，变异速度更快，死亡率会更低点。希望上海早日控制疫情。上海，去过很多次，没有好好玩过，但是总体上给我的印象不错。上海，加,,,,15省38000多名医务人员驰援上海,1,2,2,2022-04-04 21:08,,,,
4754638182815466,LmVo6bOqK,2000016880,楚天交通广播,#湖北疫情防控#【#鄂州发现1例外省输入无症状感染者#】2022年4月3日19时，鄂州市120急救中心接到1名在高速服务区停留者主动报告自述核酸检测结果疑似阳性。接到信息后，鄂州市迅速启动应急响应机制，经闭环处置复核，结果为阳性。该感染者已于4月4日凌晨2时30分闭环转运至定点医院集中隔离医学观察。目前，该感染者无咳嗽、发热等其它不适症状。1名密接人员在武汉高速公路出口拦截并闭环送至集中隔离点，密接人员及环境核酸检测结果均为阴性。对其他人员流调溯源已函告相关地方排查管控。根据流调显示，该感染者系4月2日14时在外省核酸采样后，与另一同事驾驶货车来鄂。4月2日晚在安徽省南陵服务区车上食宿。4月3日14时20分左右，因接公司告知其核酸检测结果疑似阳性，该感染者随即就近在我市高速公路沙窝乡黄龙服务区下车，在服务区内空旷地带独自等待核酸复核结果，19时左右就近向鄂州市120急救中心报告。20时30分左右，鄂州市防指将该感染者闭环转运至鄂州市定点医疗机构进行核酸采样复检，结果出来后即闭环转运至湖北省定点医疗机构集中隔离医学观察。该感染者在鄂州市无密接和次密接人员。请与其行程有交集者，立即向所在社区（村）报备。请广大市民继续增强防范意识，不要前往中高风险地区，做好个人防护，坚持佩戴口罩、保持社交距离、注意个人卫生，不信谣，不传谣。如出现发热、咳嗽、咽喉痛等症状，在做好个人防护前提下，及时就近前往医疗机构发热门诊就,,,,"湖北疫情防控,鄂州发现1例外省输入无症状感染者",0,0,1,2022-04-04 21:05,微博 weibo.com,['https://wx3.sinaimg.cn/large/002blRKMgy1h0xzr1f3faj60go0goabh02.jpg'],,
4754635703979271,LmVk6gHbN,2790685082,湖北省政府门户网站,#上海加油鄂来守沪#【#湖北医疗队援沪首日共完成39.9万份核酸采样#】接上海市疫情防控指挥部的安排，4月4日，湖北援沪医疗队将39家医疗机构共计740名医护人员分为两个组，分别进入闵行区浦江镇、长宁区新泾镇为社区居民开展新冠核酸采样工作。#上海核酸#在辖区卫健部门的配合、当地基层社区的支持下，共计完成39.9万名居民的采样工作，其中浦江镇采样25.7万人，新泾镇采样14.2万人。（来源：湖北日,,,,"上海加油鄂来守沪,湖北医疗队援沪首日共完成39.9万份核酸采样,上海核酸",2,0,7,2022-04-04 20:55,微博 weibo.com,['https://wx2.sinaimg.cn/large/0032RqFIly1h0xyznh10oj60j61040y202.jpg'],,
4754634789357506,LmViCDgjw,2117880415,找不着北的小楠,等疫情结束了我得去一趟【罗爷爷的动物园】坐标：湖北恩施,,,,,0,0,0,2022-04-04 20:52,找不着北的iPhone 13 Pro,,,
